Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7236028_pass_2_unpaired_qtrim	SRR7236028_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	218070.0	0.0	50-150	38.0	96.65263785167718	114.96365845829321	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR7236029_pass_1	SRR7236029_pass_1.fastq.gz_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	532531.0	0.0	50-150	39.0	92.33984518824525	123.28422007357318	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR7236029_pass_2_paired_qtrim	SRR7236029_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16337502.0	0.0	50-150	39.0	88.02054891219457	145.37164714654665	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR7236029_pass_2_unpaired_qtrim	SRR7236029_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	536763.0	0.0	50-150	39.0	92.4506784298024	122.87092813774422	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR7236030_pass_1	SRR7236030_pass_1.fastq.gz_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	472668.0	0.0	50-150	41.0	93.99865999620157	124.2460775851126	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236030_pass_2_paired_qtrim	SRR7236030_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12327109.0	0.0	50-150	41.0	88.52723631060975	145.07108568602743	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236030_pass_2_unpaired_qtrim	SRR7236030_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	482354.0	0.0	50-150	41.0	93.81165266479623	123.81768369288946	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236031_pass_1	SRR7236031_pass_1.fastq.gz_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10400429.0	0.0	50-150	39.0	91.29508663249084	143.1211091388634	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236031_pass_2_paired_qtrim	SRR7236031_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10400429.0	0.0	50-150	39.0	90.63395530254694	147.46475342507506	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR7236031_pass_2_unpaired_qtrim	SRR7236031_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	627400.0	0.0	50-150	39.0	93.53543764930708	125.92884921899905	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR7236032_pass_1	SRR7236032_pass_1.fastq.gz_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11487222.0	0.0	50-150	40.0	86.9519683649856	144.597768111385	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236032_pass_2_paired_qtrim	SRR7236032_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11487222.0	0.0	50-150	40.0	87.32450368339575	144.5390491278048	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236032_pass_2_unpaired_qtrim	SRR7236032_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	396484.0	0.0	50-150	40.0	91.0742782041807	122.72941152732518	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236033_pass_1	SRR7236033_pass_1.fastq.gz_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15375413.0	0.0	50-150	40.0	88.15751049624573	142.72618797296698	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236033_pass_2_paired_qtrim	SRR7236033_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15375413.0	0.0	50-150	40.0	87.53105429758398	147.06069014211195	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236033_pass_2_unpaired_qtrim	SRR7236033_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	730274.0	0.0	50-150	40.0	88.67431849572148	126.05171483580136	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236034_pass_1	SRR7236034_pass_1.fastq.gz_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10021124.0	0.0	50-150	41.0	90.92230057168933	147.38038687077417	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236034_pass_2_paired_qtrim	SRR7236034_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10021124.0	0.0	50-150	41.0	91.50083406026316	143.27691524423807	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236034_pass_2_unpaired_qtrim	SRR7236034_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	164581.0	0.0	50-150	41.0	94.6005267179018	115.19860129662598	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236036_pass_1	SRR7236036_pass_1.fastq.gz_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	714942.0	0.0	50-150	39.0	89.89360683055861	125.62954197683169	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
SRR7236036_pass_2_paired_qtrim	SRR7236036_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15171684.0	0.0	50-150	39.0	86.52091072900781	143.15454144707996	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	warn
SRR7236036_pass_2_unpaired_qtrim	SRR7236036_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	276394.0	0.0	50-150	39.0	93.44480589894249	117.3961301620151	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	warn
SRR7236037_pass_1	SRR7236037_pass_1.fastq.gz_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13523255.0	0.0	50-150	39.0	89.69295620077793	143.34322631644525	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SRR7236037_pass_2_paired_qtrim	SRR7236037_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13523255.0	0.0	50-150	39.0	89.12050445712596	147.4428727403277	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
SRR7236037_pass_2_unpaired_qtrim	SRR7236037_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	746826.0	0.0	50-150	40.0	92.80458694484088	126.411999582232	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
